Label,Text
__label__1,broken item : recieved item broken . tried contact seller . amazon return policy non - returnable item . makes sense . sold non - working condition . displeased speak directly seller amazon help . manufacture product replaced work progress . buy non - returnable items site . leaves room defective product like stuck .
__label__1,"good concept . flimsy : got 5 year old . loved concept , unfortunatley seen flimsy toy . super glue pieces fall , snaps levels place fits . buy toy ! ! ! ! ! ! ! ! ! ! ! recommend toy willing super glue parts !"
__label__1,"bad battery - replaceable - throw away unit : recently received refurbished view birthday gift , charged , set couple days . picked found dead . charged , called sansa issue agreed bad battery diagnosing problem . told battery replaceable warranty throw units away . need deal buy.com money replace unit hopefully e200 series . e200 series inexpensive replaceable batteries ."
__label__2,"museum exhibit inside book : book library genealogy section , allowed genealogy books library . liked sit library read , sittings.this quick read , loads pictures : photos ghetto inhabitants , pictures artifacts ration cards , work certificates , yellow stars , etc . like museum exhibit simple book . format think young people able book , clearly written adults . certainly probably information kovno / kaunas ghetto place.both researchers ordinary person interested holocaust enjoy this.bonus : pages diary ilya gerber printed book ; read extracts diary alexandra zapruder'ssalvaged pages : young writers ' diaries holocaust ."
__label__2,"great number board : son plays board feeding . 20 months , board helping introduce numbers . built . arrived couple days . son loves ! !"
__label__1,"flimsy materials , potentially dangerous item : rated hold 2000 lbs . trust long . nylon ropes comes clearly low quality . ropes showed signs fraying straight box . recommend item ."
__label__1,""" home "" , lowest budget film ... : * * * * * * * * * w r n n g ! * * * * * * * * * * * * * stay away ! * * * * movie pretty bad ! ultra low budget movie terrible acting boring plot , combined huge stuggle stay watch given negative star rating!!!money tubes ! ! !"
__label__2,"farily decent movie : like plot twist , leader autobots pretty good ."
__label__1,"fit / hard : decided return outfit time try pin polka dot underskirt look like model costume . underskirt hangs 2 - 3 inches layer making outfit look frumpy . underskirt sewn black fabric tucked waist , stay ( makes waist look bunchy).the laces cute pain tighten outfit mold body ( reference , bought x - small 5'4 "" , weigh 104 lbs ) . , outfit extremely hard , makes romantic night difficult . plus , want bra cups curves . cut look flat ( 34b ) . think work busty girls.the material costume quality expected type thing . overall cute -- looks better model ."
__label__1,"frustrating : problem listed previous reviews , encountered . point discovered weakness mp3 player.it fare hammer ."
__label__2,"sirus blacks escape : pretty cool set . thing wrong little taller like movie . set recreates tower movie . thing wrong door . like prison door like movie , wooden . good things sets buckbeak , sets dementor , sets sirus black . recomend buy ! ! !"
__label__2,"kohler : kohler k-702410 - l - mx matte nickel fluence fluence frameless pivot shower door crystal clear glass - 35 "" - 36 - 1/2 "" w x 65 - 1/2 "" h k-702410 - l. fluence frameless pivot shower door crystal clear glass , 35 - 36 - 1/2 "" x 65 - 1/2 "" fluence pivot shower door features eurostyle frameless design crystal clear 1/4""-thick tempered glass . featuring roller compression latch secures closure , door allows 1 - 1/2 "" adjustability - - plumb installations installed open left right . 35 - 36 - 1/2 "" x 65 - 1/2 "" continuous contact point entire jamb edge provides smooth , stable operation keeping hinge concealed"
__label__2,"good player - bad tech support : end trouble getting installed vista computer . tech support useless , apparently admitting problem . finally tried forums found workaround . finally working , player great music audiobooks , small , easy use , generally wanted ."
__label__1,"strange martial art : like admire puts time effort learn martial art master . takes lot dedication hard work . great deal respect wally jay . having said , think small circle jujitsu ineffective grappling system . think good street . reading book confirmed worst suspicions art . buy looking good laugh money burn . , actually want good book fighting try kid peligro brazilian jiu - jitsu series . buy mario sperry vale tudo tapes . book !"
__label__1,"poor customer support : printer worked fine year ( borderless prints ) . 15 months started jamming single time tried print . expected ... repair bill ( replace roller ) printer warranty . according hp , 1215 printer repaired . option exchange . send new hp 1215 [ price ] ( retail [ price ] ) return old . apart ... coupon option . buyer beware ."
__label__1,"received item month . : order placed august 28 , received printer month ."
__label__2,"glad acapella projects : like things life experienced glad reverse release dates . thought impossible improve project iii experienced project ii . variations christ lord risen today sends cold chills spine glory laud honor makes heart swell praise worship glad offers millions christians worldwide . glad added glad music repetoire . "" rejoice , rejoice "" , pattern , search , find experience project i. happy acapella harmonizing !"
__label__1,"expected better ! : bought reasons- blocks educational letters . , letters rubbing . price paid dissapointing . love concept objects inside fun ."
__label__1,"read reviews ! : bought whim , zen garden find . look reviews , immediately regret receiving zen garden . reviews summed nicely . product exactly pay for.image : [ ... ] - gap border / frame piece . tacks , hold board border / frame . probably buy wood glue , push lightly separate border , press small vice ."
__label__2,welcome 1059 baseball ! : great book insight major league baseball like late 50
__label__2,"caught words ! : album breath fresh air , melodic tones , great lyrics soft spoken ora it.alot bans tend tostay away true feelings lead singer poises tell feels.maybe felt alot emotions writing album truly masterpiece , yeah albums poorly mixed album surely makes that.i love album 5 year.the best songs are:1.bug eyes2.not simple3.caught arms4.planting seedsoverall album 5/5 perfecto masterpiece5/5 production5/5 lyrics5/5 musical pace5/5 making fan"
__label__1,"buy antonline : purchased tripod larger sony cameras purchased amazon . camera awesome . page camera recommended tripod bought antonline . tripod nearly strong use smoothly camera contacted antonline refund refused deal , paid shipping . buy tripod , beware truly strong remote control tripods start $ 300 ."
__label__2,"dancing , pulse ! : single , "" galang "" explodes like computerized firebombs ! quaking synths bells whistles beat dead dance . expecting run - - - mill "" crunky "" r&b look dreck . album combination dancehall , brazilian funk , grime house m.i.a . chirpy , sexy raps hands best albums year . ! ! !"
__label__1,low quality recordings : nirvana ashamed having released . best box rest box overdriven drunken slobbering screams accompanied smashing guitars kicking drums . like unprofessional recordings love . guess recovered trash quick buck . demos wonder nirvana got .
__label__2,"american pharmacy 1800s : extensive bibliography excellent index , biography william procter , jr . , serves introduction origins professional pharmacy usa.for information book topic , contact american institute history pharmacy ( aihp ) ."
__label__1,"charging problems : bought product replace original battery charger came 12 "" powerbook g4 . unfortunately , add charge computer closed . computer open charger plugged , add charge , makes screen brightness oscillate.i recommend product needs charge powerbook powerbook . wish spent extra money apple charger ."
__label__1,"original hit versions , jacket cd : owned cd years , thought slightly , compared "" knockin "" copy have.results : original 168 beats minutes , version 172 beats minute.original time 2 min . 23 seconds ; version 2:16 min ."
__label__1,"graphics good , . : professional movie critic , love movies . poorly written movie gave stars . focus movie clearly money utilizing graphics taking advantage strong fan base . watching , understand megan fox turned opportunity . examples movies horrible , let forgettable ."
__label__1,"buyers beware ! ! ! ! ! ! ! ! ! : cheesy compilations find session bands similar sounding artists sing songs . original songs artists . loved k - tel cd care hearing artists originals , care cheap sounding synthesizers playing music fact vocalists pretty bad , like cd . fan 80 amazing music produced , buy collections waste money schlock ! ! ! !"
__label__1,"caused tiredness confusion : noticed tired headachy taking vitex , read common effect temporary . week , noticed tiredness increasing . feel confused times plain strange . taking day , time , completely drove past shopping center going . spells felt heady , like going pass . taking 250 mg day . high hopes treatment pcos , continue . like common result , malaise confusion listed vitex effects . maybe tried vitex fruit potent vitex extract , messing ! progesterone cream !"
__label__2,son loves ! : son learned numbers quickly help puzzle . loves melissa doug chunky puzzles figured great help learn numbers . right ! great present ! highly recommended !
__label__1,"small stained : ordered average sized 8 year old . purchased medium ( size 8 - 10 ) way small . short , tight shoulders , boot covers cover foot mask wo head ( close 50%ile height & weight age ) . size better 5 year old ! bad , cape dark ( non - removable ) stain ! hoping return w/o paying shipping considering item damaged ."
__label__2,"raise feet ! : wilmington chester mass choir incredible . highly recommend inspirational gospel choir cd . especially love song "" holy , holy , holy "" , worth price cd . realyy "" feel "" lord hear thier music , know mean word note . thank amazon.com featuring cd , hard time finding ."
__label__1,bother : tried kerouac chance revive reading notable mess ' road . ' thoroughly confused popular .
__label__2,"good lord - nt gets better ! : entirely film lloyd kaufmann directs , outdoes . sheer genius.this greatest flicks ve seen entire life . hours hours dvd extras , - disc set greatest dvd terror firmer . nt begin describe amazing movie . true sequel ( toxic avenger ii guilty pleasure mine).i think amazing thing movie 1 half 1 percent money common hollywood film costs . utter sheer genius ."
__label__1,"yes , cigar : buy thing ? , saw preview great . mistakes , good movie like machines beating humans humans jelly.the opening best world . kept way ... . desintegrated pieces . fxs fabulous , movie that.sorry fans . disappointed , kid anymore , probably reason ."
__label__2,movies time : movies day hit stores nt drive .
__label__1,"ida b. wells : woman courage : eager video outstanding woman , unhappy product . dull . items included video , wells consisted person reading book . book biography instead product -- waste money ."
__label__2,"good series ender : good series ender , line lot action . new girl , cuter megan possibly ."
__label__1,waste money : product good idea cheaply constructed clips hold trash bag place hard end ripping trash bag . bucks kids payment hold trash bag .
__label__2,"happy ... : jvc nut ... 3 jvc televisions , vcr , bookshelf audio system car audio system . came time vcr player boys room old man knew going . decided combo player think vhs going longer . like combo player 2 things:(1)no cable box compatability remote control ( 2)no seperate audio video inputs input coax cable cable box cable programming mono ... wife tell difference sound happy live . vcr dvd look sound great ! ! ! ! ! ! !"
__label__1,"clean ! : story appropriate parts funny horrible ( sickest humor movies seen ) . definately kids . expected better mr . deeds . adam sandler talented reason produce trash . love chanukah song ! jew makes want celebrate chanukah.there real redeeming features movie . little old man whitey , loves actions treat like ... , stone repentence ( lack better word ) end ."
__label__2,"better apple : durable apple adapter ( apple broke 2 months ) , better priced . think best value . downside indicator charging ( apple green v. amber color ) . , great buy ."
__label__1,good ! : purchases set simple craft projects ... mainly cut card stock cardboard . tried hammering punches 12 oz . hammer card stock . got husbands big beefy hammer ... punch thin card stock . disappointed product . glad pay lot ... complete waste $
__label__1,"buy . : power adapter charges 17 "" powerbook g4 excruciatingly slowly , 6 months purchase , charge.flakey charging issue : recently , unplugging replugging middle block power computer ! guess going buy new apple power adapter approximately $ 80.slow charge issue : computer gets 80 % charged couple hours power 100 % ( ) . wondering charges slowly cord goes wall prongs instead . ? ? ? problems charging quickly apple brand ."
__label__2,"novel enjoyable restaurant antoine : eaten wonderful restaurant antoine french quarter new orleans ( themed mardi gras private rooms ) , definitely enjoy book . eaten antoine , interested new orleans society mid - way 20th century , find delightful mystery.in addition , home late author , frances parkinson keyes , open public new orleans . actually called beauregard keyes house confederate general beauregard stayed frances parkinson keyes . author wrote novel house called "" madame castel lodger , "" filled interesting history general beauregard.-- phyllis zimbler miller"
__label__1,happy : recently purchased 8 gb view . works 8 gb view support 32 gb sd card . literature internet said support 32 gb card .
__label__2,"ramazing : wow .. thats basically . bought cd , realized playin live like 20 minutes house . amazing ! closed , went backstage . crowd started chanting , "" song ! ! "" drummer came started playing . rest came played song . ra underrated great bunch guys . got cd autographed 4 got picture . buy , duality , live ! ! ears ringing ."
__label__2,"hard core action fans . : hard core action fans . little ' time ' run popcorn . getting shot , punched , etc . things getting blown sunk water . action scene seen police car . action scenes worth rewind appreciate ' buff bodies ' . guys plus working out.chrissy k. mcvay - author"
__label__2,", ! : book wonderful illustration simple ( simple unnoticed ) principles market economy fallacies adding socialism mix.i easily given 4.5 stars , option . thing kept giving 5 hazlitt partially caves halfway book topic unions . unions tantamount coersion place market economy ."
__label__2,"smoothing serum : product wonderful hair curly tends frizzy . smooths gets rid allof friz . use day , damp weather"
__label__1,"tess depressed ! : senior linville high school . recently read hardy tess d'urbervilles term paper . chose teacher told good . disappointed book general . reading description book , inferred tess confronted problem , "" heroine "" described , overcome victoriously . unfortunately , completely wrong . tess depressed frustrated extremely book . cowarded let people run . thing good little surprises inserted . book depressed read book hardy ."
__label__2,"dvd ? : beautifully filmed movie directed david lean available dvd ? superior quality dvd video tape lift film level played big screen released . storms , irish coast scene filmed look better dvd . john mills gave finest performance movie won deserved oscar.it fitting epitaph memory film distributors reissued ryans daughter dvd . nearly david leans films available dvd format . epic film ?"
__label__2,"cult classic : near furture , high ways tomorrow longer safe place . gangs bikers kamikaze lunatics roam long stretches road populate stretch land known austrailian outback . mel gibson soars tough futuristic cop mad max extreme action thriller started . amazing non - computerized stunts movie treat watch . wife brutally murdered evil group bikers , max sets crazed revenge , earning heading "" mad "" . grinding action sequences gibson cool headed attitude han solo look like second hand trash . like star wars sci - fi , movie revolutionized action movies time , setting standard today ."
__label__1,cd iz aight ........... : come ya'll dissin ' limit ( ya'll diss em ' dis ai ) ya'll talklin cash money limit fact ..... talkin satin shit thta sorry lil ' wayne sayin shit juvenile album b.g . bling bling(ha ha ) kind song sayin 3rd limit sayin longest come shit amd start makin ' album cover like kind shit people tru form cash money big tymers iz mean boy 50 $ limit real limit know ..... like shot soldiers .. hoody hooo ....
__label__2,"excellent informative : clear , thorough , - written book . details aspects setting small wood shop , layout electrical work insulation soundproofing . author talks tools select suggests priority order people want . excellent source information hobbyists beginning professionals ."
__label__2,great place start ... : - read wants know modern labor laws labor unions come . depicts stark detail criminal acts american working people textbooks .
__label__2,"love da stuff : pick guitar trying play lines duke puts numbers ! smokes "" easin ' "" . unlike , think swing chops awreet major problem herb ellis little stale staccato , compared herb yesteryear . album fine excursion genre jazz / blues appreciated purist jazz blues oriented audience . buy enjoy !"
__label__1,"pay kindle : correct size font , difficult time reading book kindle . set text wrap correctly line text , line single word , line ."
__label__1,mara wilson : love mara wilson cute beautiful.i loved matilda . think matilda beautiful.she good actress.she cute girl mrs.doubtfire.i think good
__label__1,"interesting , read fine print .... : ok , seen movie , read keel book ( reprint ) . mention fine print located copyright page , reads : "" work fiction . characters events portrayed book products author imagination fictitiously . "" believe , glance copyright page . obviously , paperback edition prepared movie tie - . touted "" true event "" publisher informs work "" author imagination . "" lie lot truth . yes , book mildly entertaining , bit choppy parts . advice , read mothman prophecies large dose salt ( movie better ) ."
__label__2,"great control racquet : great racquet , better suited advanced player . years , played os version racquet noticeably powerful little forgiving ms version . point , prefer ms version better control feel.even , prince graphite ( os ms ) great racquet , imo , best control racquets ."
__label__1,"disposable item ; past 6 months . : product july 2011 , trash . seams hold 2 released , creating giant ' bubbles ' mattress rendering unusable . paid nearly $ 50 , 3 4 times . disappointed poor quality item ."
__label__1,meh : bad effects & evil characters look like stepped 10 dollar costume halloween shop . paying 1.99 cheesy stuff . bad guy good demonic voice & interestingly complex incredibly vulgar sayings .
__label__2,"great product ; great seller ! : got item days purchase . exactly wanted -- look size smaller , instantly . tried squeem boutique fell love , asking $ 200 ! highly recommend item seller ."
__label__1,comfortable : boots water proof advertized comfortable . inserts wear day . lace hooks grab shoe lace hold pain lace . recommend .
__label__2,"great book : big fan sohie kinsella consider favorite writers , excited found book . let , read like kinsella books . loved , chick lit cases predictable care , fully enjoyed ."
__label__2,"religion profits : excellent scholarly book . great detail depth analysis . inevitable conclusion impossibility molding economic system moral philosophy , islam . problem traditional islamic thought arises , adherents , islam set moral principles way life , dictating aspect . unavoidably , effort islamists set distinct system banking economy based pure islamic traditions . prof . kuran delves history movements , , puts cultural political context . end , bravely expands general failure islamic culture tradition bring wealth prosperity masses follow . writing formal , easiest read surley apporpriate truly intersted general topic , worth reader ."
__label__1,"molly myers : molly myers , review "" rachel corrie , "" describes ism "" organization dedicated non - violence . "" radical left - wing propaganda : ism offices regularly hide terrorists weapons , ism "" pacifists "" regularly throw rocks idf soldiers , perfectly willing use violence order sabotage wall intended "" innocent palestinians "" murdering israelis.so disregard molly reviews ; biased extreme ."
__label__2,cypress rises : unusually perceptive open - hand account artist family umbria . unsentimental descriptions everyday joys frustrations counter - pointed dramatic upheaval major earthquakes . ryan articulates connections natural built environments adventure self ; ancient traditions contemporary creativity . found highly engaging - page - turner . return .
__label__2,"best book read years : bored night picked book shelf probably 20 years . oh goodness -- love jane austen england , love book . . characters -- numerous christian names ! -- kept distinct extremely vividly drawn . realizes social sanctions day kept people place -- discussion divorce family worth weight understanding social mores changed . thought bored stiff came away 4 days later finishing book wanting start , 700 pages . enjoy !"
__label__2,"nightwish unique rocks eva : moi , nightwish est vraiment le plus cool des bands . unqiue pis des tounes supers orginales , ma faite découvrir le métal pis aucune autre band ma faite vribrer comme eux . à tous le monde cest un buy ."
__label__2,"good ! : timer awesome ! easy install , operates 9 volt battery , wo hafta replace old timer 3 aas"
__label__2,"wonderfully romantic book sweeps italy : food love absolutely amazing . page felt like italy , smelling smells , seeing sights , tasting food.this book love life sensual glory , believe recognizing soul mate sight think fairy tales come true . devoured book ( pun intended ) start finish . appreciate food preparation , booking trip italy soon possible discover dishes described.what water chocolate mexican food , italian . magic preparing food love . fable , romance ( medieval sense word ) . magic wonder food love , sensual beauty world ."
__label__2,great service : happy product absolutely love ! ! ! brand new reasonable price . gon na continue shopping amazon .
__label__1,breaks easily bad warrenty : warrenty device 3 months breaks quickly . cover kept popping broke creative said warrenty ran
__label__2,"delightful , exotic world seen cat eyes : "" rabbi cat , "" french artist filmmaker joann sfar , whimsical , charming fable featuring rabbi , lovely daughter , host characters headed talking cat . protagonist narrator , cat acts greek chorus comments , sardonically , actions humans . set pre - world war ii algeria , lengthy detour paris , beautifully illustrated narrative depicts richly diverse world individuals seek preserve traditions constantly interacting people cultural , social religious backgrounds . multilayered environment , presence intelligent talking cat entirely place ."
__label__1,"trashy garbage music comes ... : listen kind music existence , chance . permanently going start ignoring cd cash money record label . cash money millionaires , ? fill cd bunch horrible songs repetitive beats . millionaires repeat words "" huh , "" "" , "" "" yeah "" 3 4 minute song . millionaires people expect kind music big thing millionaires . line : hotboys garbage , artist signed cash money label . consider good music , hope passing fad "" - called "" hip - hop music coming ... hope worth money cause ai gon na spend penny ."
__label__2,"weird stuff : dredge different heard . tell guy singing . far dredge modern , beautiful music . young musicians . emo maybe . evn hate emo check album . bought knowing . bug eyes fantastic , idea means ."
__label__2,chocolate delicious body hottie : book delicious interesting knew stuff thereit hungry chocolate m chocolate fanaticdelcious!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!even book tasted good~~~ body hottie
__label__1,"booooooring : alright , movie boring . watched hoping better . lot high hopes movie based reviews read watching . yes , nick cage good job eva beautiful pretty highlight movie ."
__label__2,worst american b - movie : movie horror film thhat displayed effort steer clear typical horror movie dialogue pacing . blonde girls girls don`t trip tree roots yard . white girl fall twist knee movie guess ? tree root ! ! !
__label__1,"17 years old shows : , agreed reviewers ordered "" strength ball training "" goldenberg twist time . book amateurish today standards . thin paperback hand - drawn sketches . maybe considered okay 1991 , 2008 . sbt gives exercises book plus , updated recent training science background , illustrated photographs actual people , plus dvd videos illustrating exercises ! price ! come , century . amateur productions like cut anymore ."
__label__2,"wonderful dramatic : basically , rashel searching vampire killed family child . comes enclave vampires , , ironically , falls love . quinn . fosterling vampire killed rashel family.well written suspensefu"
__label__1,"skimps content : journals beautiful , look like author lot effort explaining . took hour read book , creative ideas(mostly pictures ) , general content sparse . shaded sections looked like space filler ( example , "" themes "" describes travel journal purpose "" chronicling travels"" ... way ! ) . bothers writers use pretty pictures try pull appearance quality book . flip book library good ideas , expect thoughtful written advice ."
__label__1,"false advertising : search super saver shipping advertisement comes , product shipped amazon super saver shipping , cost shipping nearly 20 % cost pants ."
__label__1,"total garbage ! ! : got book free kindle . read lot free kindle books great , little entertaining . book deleted finishing . read 35 % ! funny , super annoying predictable ."
__label__1,bed leaked use : ordered use company came - niece slept ended floor night . recommend .
__label__1,"pitchshifter ! : heard deviant , thought great ( judging previous records way ps developed musical style ) . finally listening suddenly realised ps trying mainstream . new cd alike korn limp bizkit music terryifing . understand ps chose opt electronics punk / rock style . general cd good tracks ( 2 exact ) , deliver goods like previous cd . sorely dissapointed !"
__label__1,"film fails capture magic : quality filming poor , beauty music singer lost . saw "" 30 version child , wish .... real disappointment . munsel sings beautifully , film boring , quality poor . , love munsel music , buy film ."
__label__2,loads fun ! : 6 - year old 5 - year old enjoy game . lots different animals prepare parade . design float endless fun ! graphics animation colorful cute . winner !
__label__2,"solid value : want nap , 2 year old loves . good quality fair price ."
__label__2,"great game : daughter , 7 , loves game . got weeks ago plays day . upgrade system , game crashed slow . despite said game lots levels takes lots practice master freestyle levels . ( skaters lots different tricks user learns . ) game help daughter actual skating - went yesterday time receiving game lots confidence moved smoothly times went ."
__label__1,"ok ! ! ! : ordered thought allow wear clothes able weight gain.i woman size 40d breasts wear large tops wear size 8 pants , weight 140lbs . suppose clinch waist nice looking figure . , hug waist , gave muffin . shape woman wants . looked better wearing . folds folds creating bigger fold body . item extremely skinny female small breasts ' , hips , ass . woman large breast , hips , ass . women going post - pregnancy . product s suppose feel good , failed ."
__label__1,"hold backpack : bought adapter years ago works - kind . insulation area cable enters brick damaged , exposing outer wire . taped , connection issue , ac indicator screen flash battery power ac . ac adaptor compartment backpack , sees major abuse . sure wo issue traveling , thought relate experience ."
__label__1,ok : like songs new world 5 years . excited purchase disc kinda disappointed . lacks edgy variation creativity . bad cover track fun -- success jason robert brown work .
__label__1,"worst product owned : reported , zr40 began eating tapes hours use . lost precious moments recorded tape tape loading problem.the good thing camera bag large hold nikon p100 . canon going trash ."
__label__2,read : needs read classic . amazing look piousness early settlers . appreciated lot .
__label__1,"recommended : pro : soft - closing valve mechanism prevents water hammer effect.cons : programming intuitive . adjust manual valve - open time duration ; fixed 15 minutes ( manual states possible adjust , ) . 9v battery week ."
__label__1,awful : possibly worst book read . amazed number fans kind rubbish .
__label__1,"impressed : book line numbers . addition , pages scene act number . open book , idea play . flip pages find closest scene 1 figure act . book makes difficult follow class recommend ."
__label__2,"long torso great product : received product mail worn times . fairly comfortable bustier / corset style waist cincher . boning supportive higher quality bridal style corsette ( cheap things lay smoothly ) . pleased product . thing negative short . - size fits understand bit long torso 5'1 "" . issue , meant way cover chest belt nt random tire hanging pants , fairly thin causing wires rub bra jeans . best sitting , custom corset smaller torso likely . cloth fairly comfortable promised ."
__label__1,"disappointing levels : brief introduction images period coloring book covers . star . , need mind supposed coloring book , target audience probably children frankly know adults adore sorts books . images simple black white lines drawings shading interfers coloring . images "" blurry "" details think fun color . cool reference clip art examples gothic style ."
__label__2,"favorite books kid . : ought required reading boy girl ages 8 - 12 . enjoyable , readable , exciting , , heart - warming ."
__label__1,review pillow : joke . sending pillow . come close advertised . believe cardboard box arrived softer head . giving star post . wish stars negative .
__label__1,"cheezy unbearable . watched 20 mins : family thought "" cute "" movie . turned unbearably bad . cheezy bad acting . watch 20 mins ."
__label__1,"obviously , adam sandler best : acceptable movie , good moments adam sandler , new american comedy guys ; far "" funny people "" involved movies , like "" anger management "" ( jack nicholson ) hilarious "" little nicky "" ."
__label__1,"! : honest players presented disc interpretations fine songs . songs sound beatles . creditable musicians genuine love early beatles sound atmosphere better job recreating numbers , desire . good comparison , listen "" means lot "" billy sullivan ( half known vinny fazzari ) , "" american popster "" album -- exquisite !"
__label__1,": like . bit large plastic , rubbery smell goes away . slightly loud . similar toys like ."
__label__1,junk : junk . time nomad thinks file corrupt os freezes . way recover plug power cord recovery mode . happen house frozen os use nomad home . os froze twice subway returned jukebox .
__label__2,"movie : 3~4.5/5 picture quality : 3.5~4.75/5 sound quality : 4~4.75/5 extras : 0~4/5 : version : u.s.aspider - man / region freempeg-4 avc bd-50running time : 2:01:11movie size : 30,791,897,088 bytesdisc size : 32,496,402,276 bytesaverage video bit rate : 26.09 mbpsdolby truehd 5.1 24 - bit ( upconverted 16 - bit master)spider - man 2 ( seamless branching)mpeg-4 avc bd-50running time : 2:07:25movie size : 36,883,243,008 bytesdisc size : 49,011,222,186 bytesaverage video bit rate : 24.14 mbpsdolby truehd 5.1 24 - bitspider - man 2.1 ( seamless)mpeg-4 avc bd-50running time : 2:15:46movie size : 39,171,311,616 bytesdisc size : 49,011,222,186 bytesaverage video bit rate : 24.06 mbpsdolby truehd 5.1 24 - bitspider - man 3 / region ampeg-4 avc bd-50running time : 2:19:10movie size : 43,368,265,728 bytesdisc size : 48,052,312,355 bytesaverage video bit rate : 26.06 mbpsdolby truehd 5.1 24 - bitlpcm 5.1 4608kbps 16 - bit"
__label__1,"starts bang fades : enjoyed transformers immensely . quirky , fun exciting . heard dark moon recaptured magic . . , like big budget action movies devolved noise , machines smashing frame , , ... 2.5 hours length reach point stop caring . edit content better movie ."
__label__2,"unevenly fantastic : album fascinating , bizarre sound points songs flat boring . si senor hairy grill masterpiece bunch organ biuldup amazing crescendo screaming guitars ( screaming ? ) . dr . van steiner , goldrush , latin ~ tinged la habanera , lesser extent , oh yeah , fine , incredibly inventive tunes . shirley bassey great rhythm devine , rest tad blah . worth greatness , buy 80 missed . jamming si senor worth ."
__label__2,"good product : read reviews product purchased . ardyss wearer brand piece cake . purchased small need extra small wear day comfortably . feel slight discomfort beginning feel working . thing like strapless worn type . body hugging tops excluded , course . recommend want extra sexy night town ."
